0,1,The Weeknd,Starboy,"3,135,625"
1,2,The Chainsmokers,Closer,"3,015,525"
2,3,DJ Snake,Let Me Love You,"2,545,384"
3,4,Clean Bandit,Rockabye (feat. Sean Paul & Anne-Marie),"2,356,604"
4,5,Drake,One Dance,"2,259,887"
5,6,Drake,Fake Love,"2,137,437"
6,7,Bruno Mars,24K Magic,"2,111,599"
7,8,Maroon 5,Don't Wanna Know,"2,107,137"
8,9,Rae Sremmurd,Black Beatles,"2,075,732"
9,10,The Weeknd,I Feel It Coming,"1,949,575"
10,11,Shakira,Chantaje (feat. Maluma),"1,893,214"
11,12,ZAYN,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""","1,857,252"
12,13,James Arthur,Say You Won't Let Go,"1,812,335"
13,14,Migos,Bad and Boujee (feat. Lil Uzi Vert),"1,801,707"
14,15,Major Lazer,Cold Water (feat. Justin Bieber & MØ),"1,731,191"
15,16,Martin Garrix,In the Name of Love,"1,647,944"
16,17,Ariana Grande,Side To Side,"1,527,676"
17,18,Starley,Call On Me - Ryan Riback Extended Remix,"1,507,320"
18,19,Justin Timberlake,"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")","1,480,601"
19,20,The Chainsmokers,Don't Let Me Down,"1,438,471"
20,21,Shawn Mendes,Treat You Better,"1,409,430"
21,22,Steve Aoki,Just Hold On,"1,375,005"
22,23,Calvin Harris,My Way,"1,341,827"
23,24,Hailee Steinfeld,Starving,"1,338,596"
24,25,Machine Gun Kelly,Bad Things (with Camila Cabello),"1,257,334"
25,26,Twenty One Pilots,Heathens,"1,255,839"
26,27,Sia,Cheap Thrills,"1,238,279"
27,28,The Chainsmokers,All We Know,"1,238,138"
28,29,Shawn Mendes,Mercy,"1,215,550"
29,30,CNCO,Reggaetón Lento (Bailemos),"1,164,530"
30,31,DRAM,Broccoli (feat. Lil Yachty),"1,149,938"
31,32,Mike Posner,I Took A Pill In Ibiza - Seeb Remix,"1,112,074"
32,33,J Balvin,Safari,"1,112,032"
33,34,Calvin Harris,This Is What You Came For,"1,094,062"
34,35,Fifth Harmony,Work from Home (feat. Ty Dolla $ign),"1,059,658"
35,36,Alessia Cara,Scars To Your Beautiful,"1,031,598"
36,37,Ricky Martin,Vente Pa' Ca,"1,016,899"
37,38,The Vamps,All Night,"1,003,894"
