Rank,Artist,Title,Streams
1,Ed Sheeran,Shape of You,"7,558,862"
2,ZAYN,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""","4,464,989"
3,The Chainsmokers,Paris,"3,919,374"
4,Luis Fonsi,Despacito (Featuring Daddy Yankee),"3,663,965"
5,Martin Garrix,Scared to Be Lonely,"3,102,171"
6,Katy Perry,Chained To The Rhythm,"2,938,688"
7,Ed Sheeran,Castle on the Hill,"2,914,394"
8,Clean Bandit,Rockabye (feat. Sean Paul & Anne-Marie),"2,736,215"
9,James Arthur,Say You Won't Let Go,"2,562,295"
10,The Weeknd,I Feel It Coming,"2,559,341"
11,The Weeknd,Starboy,"2,508,046"
12,The Chainsmokers,Closer,"2,374,688"
13,Starley,Call On Me - Ryan Riback Extended Remix,"2,299,199"
14,Migos,Bad and Boujee (feat. Lil Uzi Vert),"2,256,938"
15,Julia Michaels,Issues,"2,243,389"
16,Machine Gun Kelly,Bad Things (with Camila Cabello),"1,977,872"
17,Shakira,Chantaje (feat. Maluma),"1,938,969"
18,Major Lazer,Run Up (feat. PARTYNEXTDOOR & Nicki Minaj),"1,927,033"
19,Steve Aoki,Just Hold On,"1,919,363"
20,Maroon 5,Don't Wanna Know,"1,912,948"
21,Alessia Cara,"How Far I'll Go - From ""Moana""","1,898,497"
22,Drake,Fake Love,"1,758,448"
23,DJ Snake,Let Me Love You,"1,714,071"
24,Bruno Mars,24K Magic,"1,687,096"
25,AJR,Weak,"1,686,972"
26,Martin Jensen,Solo Dance,"1,669,005"
27,The Vamps,All Night,"1,664,421"
28,Big Sean,Bounce Back,"1,627,127"
29,Bruno Mars,That's What I Like,"1,607,421"
30,Jon Bellion,All Time Low,"1,551,803"
31,Alok,Hear Me Now,"1,537,485"
32,Drake,One Dance,"1,512,427"
33,Nicky Jam,El Amante,"1,431,904"
34,KYLE,iSpy (feat. Lil Yachty),"1,396,293"
35,CNCO,Reggaetón Lento (Bailemos),"1,371,952"
36,Imagine Dragons,Believer,"1,370,833"
37,Robin Schulz,Shed a Light,"1,357,660"
38,Snakehips,Don't Leave,"1,334,886"
39,Major Lazer,Cold Water (feat. Justin Bieber & MØ),"1,323,198"
40,Martin Garrix,In the Name of Love,"1,319,628"
41,Ariana Grande,Side To Side,"1,310,196"
42,Sage The Gemini,Now and Later,"1,309,495"
43,Adele,Water Under the Bridge,"1,272,259"
44,Zara Larsson,I Would Like,"1,263,429"
45,Hailee Steinfeld,Starving,"1,198,254"
46,Rae Sremmurd,Black Beatles,"1,184,877"
47,Migos,T-Shirt,"1,183,422"
48,Calvin Harris,My Way,"1,154,993"
49,John Legend,Love Me Now,"1,112,636"
50,Post Malone,Congratulations,"1,086,195"
51,Ed Sheeran,Thinking out Loud,"1,072,417"
52,Shawn Mendes,Mercy,"1,042,776"
53,Alan Walker,Alone,"1,017,090"
54,Petit Biscuit,Sunset Lover,"1,015,024"
55,Rag'n'Bone Man,Human,"1,006,749"
56,Zion & Lennox,Otra vez (feat. J Balvin),"980,729"
57,Bebe Rexha,I Got You,"973,467"
58,Jax Jones,You Don't Know Me - Radio Edit,"968,125"
59,Ed Sheeran,Photograph,"934,741"
60,Isaiah,It's Gotta Be You,"930,266"
61,J Balvin,Safari,"917,041"
62,Shawn Mendes,Treat You Better,"914,322"
63,Twenty One Pilots,Heathens,"908,641"
64,Aminé,Caroline,"905,206"
65,Alessia Cara,Scars To Your Beautiful,"903,252"
66,Luke Christopher,Lot to Learn,"865,999"
67,The Chainsmokers,All We Know,"853,485"
68,The Chainsmokers,Don't Let Me Down,"850,949"
69,Little Mix,Touch,"850,699"
70,Olivia Holt,History,"846,636"
71,Chance the Rapper,No Problem (feat. Lil Wayne & 2 Chainz),"846,406"
72,Justin Timberlake,"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")","831,678"
73,The Weeknd,Party Monster,"827,112"
74,JP Cooper,September Song,"824,818"
75,Big Sean,Moves,"813,794"
76,Noah Cyrus,Make Me (Cry),"812,771"
77,Big Sean,No Favors,"806,817"
78,Jonas Blue,By Your Side,"804,559"
79,Lady Gaga,Million Reasons,"782,104"
80,DRAM,Broccoli (feat. Lil Yachty),"777,994"
81,Ricky Martin,Vente Pa' Ca,"777,020"
82,Sam Hunt,Body Like A Back Road,"750,126"
83,Charlie Puth,We Don't Talk Anymore (feat. Selena Gomez),"746,517"
84,IAmChino,"Ay Mi Dios (feat. Pitbull, Yandel & Chacal)","740,601"
85,Twenty One Pilots,Stressed Out,"738,672"
86,Flo Rida,Cake - Challenge Version,"735,636"
87,Hearts & Colors,Lighthouse - Andrelli Remix,"733,452"
88,Mike Posner,I Took A Pill In Ibiza - Seeb Remix,"718,316"
89,Wisin,Vacaciones,"716,407"
90,NEIKED,Sexual,"716,206"
91,Bruno Mars,Versace on the Floor,"714,382"
92,Piso 21,Me Llamas (feat. Maluma) - Remix,"713,745"
93,Childish Gambino,Redbone,"704,361"
94,Stanaj,Romantic - NOTD Remix,"699,574"
95,Justin Bieber,Love Yourself,"698,746"
96,Twenty One Pilots,Ride,"698,125"
97,G-Eazy,Some Kind Of Drug,"687,561"
98,A R I Z O N A,Oceans Away,"667,529"
99,Aaron Carter,Sooner Or Later,"664,483"
100,Sia,Cheap Thrills,"661,983"
101,Sean Paul,No Lie,"660,628"
102,21 Savage,X (feat. Future),"659,396"
103,Anuel Aa,"Sola (Remix) [feat. Daddy Yankee, Wisin, Farruko, Zion & Lennox]","653,665"
104,Jonas Blue,Perfect Strangers,"650,522"
105,Ozuna,Dile Que Tu Me Quieres,"646,525"
106,Sia,The Greatest,"646,364"
107,Lauv,The Other,"635,227"
108,Alan Walker,Faded,"632,715"
109,Fifth Harmony,Work from Home (feat. Ty Dolla $ign),"627,995"
110,Rihanna,Love On The Brain,"627,178"
111,Rae Sremmurd,Swang,"625,066"
112,Justin Bieber,Sorry,"620,276"
113,Adele,Hello,"617,846"
114,Drake,Too Good,"617,413"
115,Dua Lipa,Be The One,"616,363"
116,Desiigner,Panda,"611,790"
117,gnash,"i hate u, i love u (feat. olivia o'brien)","610,164"
118,Travis Scott,goosebumps,"607,370"
119,Carlos Vives,La Bicicleta,"606,389"
120,Calvin Harris,This Is What You Came For,"606,161"
121,J. Cole,Deja Vu,"599,200"
122,Daddy Yankee,La Rompe Corazones,"595,149"
123,Sebastian Yatra,Traicionera,"592,406"
124,Beyoncé,Halo,"590,448"
125,Lukas Graham,7 Years,"588,454"
126,San Holo,Light,"587,430"
127,Maroon 5,Cold,"585,547"
128,DVBBS,Not Going Home,"584,804"
129,Adele,Send My Love (To Your New Lover),"582,017"
130,Rag'n'Bone Man,Skin,"581,068"
131,Lil Wayne,"Sucker For Pain (with Wiz Khalifa, Imagine Dragons, Logic & Ty Dolla $ign feat. X Ambassadors)","574,227"
132,Sia,"Helium - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""","572,901"
133,Drake,Sneakin’,"568,661"
134,Sam Smith,Stay With Me,"568,074"
135,Nick Jonas,"Bom Bidi Bom - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""","567,510"
136,Andy Grammer,Fresh Eyes,"566,861"
137,Charly Black,Gyal You A Party Animal - Remix,"565,135"
138,Joakim Lundell,All I Need,"564,217"
139,21 Savage,No Heart,"561,595"
140,Chance the Rapper,Same Drugs,"557,517"
141,Rihanna,Work,"556,111"
142,John Legend,All of Me,"551,654"
143,Nevada,The Mack,"550,162"
144,Drake,Controlla,"549,782"
145,XXXTENTACION,Look at Me!,"544,711"
146,Little Mix,Shout Out to My Ex,"542,685"
147,FRENSHIP,Capsize,"538,846"
148,Rihanna,Needed Me,"538,027"
149,Rob $tone,Chill Bill,"530,554"
150,Don Omar,Te Quiero Pa´Mi,"528,218"
151,Niall Horan,This Town,"521,642"
152,Kungs,This Girl (Kungs Vs. Cookin' On 3 Burners) - Kungs Vs. Cookin' On 3 Burners,"520,456"
