Rank,Artist,Title,Streams,Date
1,The Weeknd,Starboy,"3,135,625",2017-01-02
2,The Chainsmokers,Closer,"3,015,525",2017-01-02
3,DJ Snake,Let Me Love You,"2,545,384",2017-01-02
4,Clean Bandit,Rockabye (feat. Sean Paul & Anne-Marie),"2,356,604",2017-01-02
5,Drake,One Dance,"2,259,887",2017-01-02
6,Drake,Fake Love,"2,137,437",2017-01-02
7,Bruno Mars,24K Magic,"2,111,599",2017-01-02
8,Maroon 5,Don't Wanna Know,"2,107,137",2017-01-02
9,Rae Sremmurd,Black Beatles,"2,075,732",2017-01-02
10,The Weeknd,I Feel It Coming,"1,949,575",2017-01-02
11,Shakira,Chantaje (feat. Maluma),"1,893,214",2017-01-02
12,ZAYN,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""","1,857,252",2017-01-02
13,James Arthur,Say You Won't Let Go,"1,812,335",2017-01-02
14,Migos,Bad and Boujee (feat. Lil Uzi Vert),"1,801,707",2017-01-02
15,Major Lazer,Cold Water (feat. Justin Bieber & MØ),"1,731,191",2017-01-02
16,Martin Garrix,In the Name of Love,"1,647,944",2017-01-02
17,Ariana Grande,Side To Side,"1,527,676",2017-01-02
18,Starley,Call On Me - Ryan Riback Extended Remix,"1,507,320",2017-01-02
19,Justin Timberlake,"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")","1,480,601",2017-01-02
20,The Chainsmokers,Don't Let Me Down,"1,438,471",2017-01-02
21,Shawn Mendes,Treat You Better,"1,409,430",2017-01-02
22,Steve Aoki,Just Hold On,"1,375,005",2017-01-02
23,Calvin Harris,My Way,"1,341,827",2017-01-02
24,Hailee Steinfeld,Starving,"1,338,596",2017-01-02
25,Machine Gun Kelly,Bad Things (with Camila Cabello),"1,257,334",2017-01-02
26,Twenty One Pilots,Heathens,"1,255,839",2017-01-02
27,Sia,Cheap Thrills,"1,238,279",2017-01-02
28,The Chainsmokers,All We Know,"1,238,138",2017-01-02
29,Shawn Mendes,Mercy,"1,215,550",2017-01-02
30,CNCO,Reggaetón Lento (Bailemos),"1,164,530",2017-01-02
31,DRAM,Broccoli (feat. Lil Yachty),"1,149,938",2017-01-02
32,Mike Posner,I Took A Pill In Ibiza - Seeb Remix,"1,112,074",2017-01-02
33,J Balvin,Safari,"1,112,032",2017-01-02
34,Calvin Harris,This Is What You Came For,"1,094,062",2017-01-02
35,Fifth Harmony,Work from Home (feat. Ty Dolla $ign),"1,059,658",2017-01-02
36,Alessia Cara,Scars To Your Beautiful,"1,031,598",2017-01-02
37,Ricky Martin,Vente Pa' Ca,"1,016,899",2017-01-02
38,The Vamps,All Night,"1,003,894",2017-01-02
39,Jonas Blue,By Your Side,"971,615",2017-01-02
40,Charlie Puth,We Don't Talk Anymore (feat. Selena Gomez),"971,342",2017-01-02
41,Aminé,Caroline,"963,128",2017-01-02
42,Sage The Gemini,Now and Later,"959,972",2017-01-02
43,John Legend,Love Me Now,"950,832",2017-01-02
44,Nevada,The Mack,"949,200",2017-01-02
45,Alan Walker,Alone,"936,813",2017-01-02
46,Rihanna,Work,"899,368",2017-01-02
47,Zion & Lennox,Otra vez (feat. J Balvin),"893,174",2017-01-02
48,Zara Larsson,I Would Like,"892,922",2017-01-02
49,Alok,Hear Me Now,"873,494",2017-01-02
50,Robin Schulz,Shed a Light,"868,259",2017-01-02
51,Big Sean,Bounce Back,"859,929",2017-01-02
52,Justin Bieber,Love Yourself,"858,762",2017-01-02
53,DNCE,Cake By The Ocean,"830,889",2017-01-02
54,The Weeknd,Party Monster,"829,599",2017-01-02
55,Justin Bieber,Sorry,"827,170",2017-01-02
56,Twenty One Pilots,Ride,"825,398",2017-01-02
57,Carlos Vives,La Bicicleta,"810,362",2017-01-02
58,Jonas Blue,Perfect Strangers,"806,283",2017-01-02
59,Desiigner,Panda,"788,804",2017-01-02
60,Drake,Too Good,"786,785",2017-01-02
61,Alessia Cara,"How Far I'll Go - From ""Moana""","778,773",2017-01-02
